TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/1.jpg,bearing_flat,0.491,0.548,,,0.776,0.69,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/10.jpg,bearing_flat,0.36,0.457,,,0.646,0.613,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/100.jpg,bearing_flat,0.509,0.422,,,0.661,0.693,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/101.jpg,bearing_flat,0.479,0.422,,,0.589,0.688,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/102.jpg,bearing_flat,0.44,0.28,,,0.661,0.56,,
TEST,gs://sudz/parts_sorter/parts/bearing_flat/compress/103.jpg,bearing_flat,0.341,0.235,,,0.595,0.453,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/104.jpg,bearing_flat,0.235,0.54,,,0.38,0.848,,
VALIDATE,gs://sudz/parts_sorter/parts/bearing_flat/compress/105.jpg,bearing_flat,0.339,0.562,,,0.546,0.797,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/106.jpg,bearing_flat,0.254,0.547,,,0.495,0.7,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/107.jpg,bearing_flat,0.579,0.317,,,0.705,0.675,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/108.jpg,bearing_flat,0.45,0.195,,,0.609,0.542,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/109.jpg,bearing_flat,0.315,0.14,,,0.556,0.495,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/11.jpg,bearing_flat,0.375,0.437,,,0.67,0.647,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/110.jpg,bearing_flat,0.269,0.12,,,0.566,0.463,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/111.jpg,bearing_flat,0.334,0.02,,,0.526,0.57,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/112.jpg,bearing_flat,0.204,0.187,,,0.35,0.52,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/113.jpg,bearing_flat,0.32,0.522,,,0.48,0.767,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/114.jpg,bearing_flat,0.326,0.33,,,0.446,0.622,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/115.jpg,bearing_flat,0.414,0.235,,,0.571,0.657,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/116.jpg,bearing_flat,0.234,0.32,,,0.416,0.688,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/117.jpg,bearing_flat,0.231,0.22,,,0.37,0.523,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/118.jpg,bearing_flat,0.241,0.268,,,0.389,0.59,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/119.jpg,bearing_flat,0.236,0.293,,,0.354,0.563,,
TRAIN,gs://sudz/parts_sorter/parts/bearing_flat/compress/12.jpg,bearing_flat,0.374,0.45,,,0.64,0.628,,
